uuid,human_written_content,aigenerated_content,model,num_completion_token,num_original_token,num_prompt_token,num_iagenerated_token,original_label,source_type,ai_generated_label,article_type,pre_post_GPT,dataset_source,GPT-3.5 NLI,GPT_NLI_plus_ai_label,AlignScore,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,Semantic_Distance,Prompt
baf8057a-d501-41a7-a39b-37e75538063b,as of todays reports the global number of confirmed cases of covid-19 has surpassed 100 000. as we mark this sombre moment the world health organization who reminds all countries and communities that the spread of this virus can be significantly slowed or even reversed through the implementation of robust containment and control activities. china and other countries are demonstrating that spread of the virus can be slowed and impact reduced through the use of universally applicable actions. ,"The latest data shows that worldwide confirmed COVID-19 cases have exceeded 100,000. The World Health Organization urges nations and communities to adopt strong containment measures to slow or reverse the virus spread. China and other countries have proven that implementing universal actions can effectively reduce the virus's impact and slow its transmission.",gpt-3.5-turbo-0125,61,80,179,240,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.984531462,0.92443037,0.898090243,0.911069989,0.076304078,Major
15ab08de-4a59-4314-8a2a-f97306ee9ff9,"""And they have almost the same numbers. What is your point? Mine is that a) Michigan has a much larger percentage of African Americans (23% vs. 6%) (ask @FatEmperor about skin pigmentation &amp; Vitamin D serology levels) and b) The infection is ending in Michigan. Not in Sweden. ""","Michigan and Sweden have similar case numbers. Michigan has a higher African American population at 23% compared to Sweden's 6%. Michigan's infection rate is declining, unlike Sweden's. Connect with @FatEmperor for insights on skin pigmentation and Vitamin D levels.",gpt-3.5-turbo-0125,54,64,156,210,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.747108519,0.902053356,0.872343481,0.886949658,0.13689208,Major
33914e71-7c17-4418-8cc1-a2e60061e249,a new poll found that 58 percent of respondents say the u.s. will move too quickly to reopen while 32 percent say it will take too long to loosen restrictions. regardless of attitudes on reopening it remains to be seen how relaunching the economy will go from a public health standpoint. experts say that as people interact more cases will go up but its unclear if there will be another surge in cases. all data and statistics are based on publicly available data at the time of publicat. ,"A recent survey revealed that 58% of participants believe the U.S. will rush the reopening process, while 32% feel it will delay easing restrictions. The impact on public health as the economy restarts is uncertain. Experts predict a rise in cases as social interactions increase, but the possibility of a new wave remains unclear. The information provided is sourced from publicly accessible data available at the time of publication.",gpt-3.5-turbo-0125,82,92,191,273,real,AI Machine,real,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_real,0.981840909,0.926254034,0.90626967,0.916152894,0.137511134,Major
ed2536c4-3aa2-4cbb-81b2-54d7afe0cd4e,"""Whatever happened to Cummings & Co's herd immunity plan? COVID-19: What is herd immunity? https://youtu.be/hkDw7scj2yk via @YouTube""","""Curious about Cummings & Co's herd immunity strategy for COVID-19? Learn about herd immunity in this video: https://youtu.be/hkDw7scj2yk @YouTube""",gpt-3.5-turbo-0125,40,26,125,165,real,AI Machine,real,twitter post,pre-GPT,CoAID,Entailment,Entailment_real,0.929521918,0.943102598,0.946282983,0.944690108,0.105047345,Major
91bf08eb-edfa-4eb9-ac77-bd30aa087548,scientists have found that four young males who experienced severe cases of covid-19 in netherlands had rare mutations in same gene on their x chromosome. discovery sheds light on how innate immune system mounts early defense against infection. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent information on covid-1. ,"A recent study revealed that four young men in the Netherlands who suffered severe cases of COVID-19 shared uncommon mutations in a specific gene on their X chromosome. This finding provides insight into how the body's innate immune system reacts to infections early on. The data and figures cited are derived from publicly accessible sources at the time of reporting, though some details could be outdated. For the latest COVID-19 updates, check out our coronavirus hub and live news feed.",gpt-3.5-turbo-0125,91,80,178,269,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.914687335,0.918338001,0.917158306,0.917747736,0.096901774,Major
749a74c2-ca70-46bb-9b09-7080586a5330,recommendations for worker infection prevention are based on an approach known as the hierarchy of controls. this approach groups actions by their likely effectiveness in reducing or removing hazards. in most cases the preferred approach is to eliminate a hazard or hazardous processes e.g. exclude sick workers and visitors install feasible engineering controls and implement appropriate protocols for cleaning disinfection and sanitation to further reduce exposure or shield farmworkers. unti. ,"Guidelines for preventing worker infections rely on the hierarchy of controls, categorizing actions based on their effectiveness in hazard reduction. The primary strategy involves hazard elimination, such as barring sick individuals and installing engineering controls. Additionally, protocols like cleaning and disinfection are crucial for reducing exposure and protecting farmworkers.",gpt-3.5-turbo-0125,59,75,172,231,real,AI Machine,real,news article,pre-GPT,CoAID,entailment,entailment_real,0.916970968,0.928802133,0.901009679,0.914694846,0.09208262,Major
af7d1140-cf75-4f09-9a03-e597471cc567,"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""","""What will @BorisJohnson do next amidst the uncertainty? Will the lockdown persist or shift towards herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""",gpt-3.5-turbo-0125,59,45,157,216,real,AI Machine,real,twitter post,pre-GPT,CoAID,entailment,entailment_real,0.914527178,0.962993085,0.940417469,0.951571405,0.1504035,Major
ae96d878-9c73-42e7-b6ad-33baf41821a0,"""What is the sensitivity &amp; specificity of the Antigen Test being done ? That is an important metric to know if we are missing out on + ve patients through the recent Serology tets being done (which is the main reason of the numbers getting ramped up)""","Understanding the sensitivity and specificity of the Antigen Test is crucial to identify any missed positive cases from recent Serology tests, which may be inflating the numbers. #COVID19TestingMetrics",gpt-3.5-turbo-0125,37,53,142,179,real,AI Machine,real,twitter post,pre-GPT,CoAID,Entailment,Entailment_real,0.445424557,0.892176628,0.868120253,0.879984081,0.222125113,Major
bcd8bd02-1514-4130-9bc5-2a0147d4591e,this document provides summary of considerations and current centers for disease control and prevention cdc recommendations regarding sars cov-2 testing strategy. cdc recommendations for sars cov-2 testing have been developed based on what is currently known about covid-19 and are subject to change as additional information becomes available. authorized assays for viral testing include those that detect sars cov-2 nucleic acid or antigen. viral nucleic acid or antigen tests check samp. ,A report outlines CDC recommendations on SARS-CoV-2 testing. The guidelines are influenced by existing knowledge of COVID-19 and may evolve with new data. Approved tests can identify the virus's genetic material or proteins in samples for testing.,gpt-3.5-turbo-0125,48,75,182,230,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment.,Entailment._real,0.800557911,0.884044111,0.861621022,0.872688591,0.07716161,Major
1613cee5-b04b-467b-a235-9ed34deded33,"what your doctor is reading on medscape.com march 24 2020 -- recommendations for urgent and nonurgent patient care in ophthalmology were published in 2020 by the american academy of ophthalmology aao).[1,2 due to the covid-19 pandemic all ophthalmologists should immediately cease providing any treatment other than urgent or emergent care. several reports suggest covid-19 can cause conjunctivitis and possibly be transmitted by aerosol contact with conjunctiva. patients with conjunctiviti. ",The American Academy of Ophthalmology (AAO) issued guidelines in 2020 advising ophthalmologists to prioritize urgent patient care due to COVID-19. The virus may lead to conjunctivitis and could spread through aerosol contact with the eyes. Nonurgent treatments should be postponed.,gpt-3.5-turbo-0125,59,76,197,256,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.802943647,0.904648185,0.859308481,0.881395698,0.112891674,Major
1be2ae8b-7dab-44e4-9b5c-3182e80899dd,"""Thermal scanners are effective in detecting people who have a fever. They cannot detect people who are infected with COVID-19. There are many causes of fever. Call your healthcare provider if you need assistance. """,Thermal scanners can identify febrile individuals but not specifically those with COVID-19. Various factors can lead to fever. Contact your healthcare provider for help if needed.,gpt-3.5-turbo-0125,34,40,130,164,real,AI Machine,real,twitter post,pre-GPT,CoAID,Entailment,Entailment_real,0.842644453,0.925331891,0.921916127,0.92362082,0.179534733,Major
4ce7d576-cae9-4c4c-9267-703df1a8fbd7,"""The prolonged use of medical masks when properly worn, DOES NOT cause CO2 intoxication nor oxygen deficiency. #facts #publichealth""",Wearing medical masks correctly for extended periods does not lead to CO2 buildup or lack of oxygen. #HealthFacts #StayInformed,gpt-3.5-turbo-0125,28,25,114,142,real,AI Machine,real,twitter post,pre-GPT,CoAID,entailment,entailment_real,0.527955294,0.921094,0.918928981,0.920010209,0.104840755,Major
2d8881d6-90e9-4156-a393-e41f985b78f6,"""By when can we expect the results then??""","""When will the results be available?""",gpt-3.5-turbo-0125,7,12,98,105,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.957844436,0.949353993,0.913623929,0.931146324,0.205754459,Major
8fa19277-1bc7-4a20-b818-ce619bc42445,experts say you do nt need to wear gloves at the grocery store especially if you are diligent about washing your hands and not touching your face. getty images experts say wearing gloves while grocery shopping probably wo nt lower your risk of contracting the virus that causes covid-19. they say the gloves can make you more conscious of touching items as well as send a message to people nearby that you are taking precautions. the centers for disease control and prevention provides tips on. ,"Health professionals advise against wearing gloves at the supermarket if you regularly wash your hands and avoid touching your face. According to experts, using gloves may not significantly reduce the likelihood of catching the COVID-19 virus. Instead, they suggest that wearing gloves could remind you to be cautious about what you touch and show others that you are being careful. The Centers for Disease Control and Prevention offers guidance on this matter.",gpt-3.5-turbo-0125,80,89,185,265,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.967020929,0.91588068,0.90123719,0.908499897,0.076585412,Major
ea964b37-45d7-4c18-bda3-72ac832ae29a,the goals of cdcs global response to covid-19 are to limit human to- human transmission minimize the impact of covid-19 in vulnerable countries with limited preparedness capacity and reduce specific threats that pose current and future risk to the united states. cdcs global covid-19 response works toward these goals by meeting the following objectives strengthen capacity to prevent detect and respond to local covid-19 cases mitigate covid-19 transmission in the community across bord. ,"The CDC's worldwide efforts against COVID-19 aim to curb person-to-person spread, lessen the virus's impact in less-prepared nations, and address threats to the US. Through improving local response capabilities and reducing cross-border transmission, the CDC works to achieve these goals globally.",gpt-3.5-turbo-0125,55,75,181,236,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.966828227,0.89656359,0.863306642,0.87962085,0.128552437,Major
8bc2f9be-066e-4236-9a7f-a9e803c5f000,"what your doctor is reading on medscape.com april 17 2020 -- as of april 9 2020 severe acute respiratory syndrome coronavirus 2 sars cov-2 had infected 1,436,198 people and caused 85,522 deaths. by the time you read this those numbers will have increased. as the numbers grow more and more neurologic symptoms are being reported in covid-19 patients. neurologists in turn may increasingly find themselves involved in caring for patients with the novel virus. covid-19 may affect the nervo. ","On April 9, 2020, there were 1,436,198 confirmed cases and 85,522 deaths due to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Neurological symptoms are emerging in COVID-19 patients, leading to neurologists playing a larger role in managing the virus. The impact of COVID-19 on the nervous system is a growing concern as cases continue to rise.",gpt-3.5-turbo-0125,87,84,204,291,real,AI Machine,real,news article,pre-GPT,CoAID,entailment,entailment_real,0.814847946,0.899080694,0.872309744,0.885492921,0.092786431,Major
