human_written_content,ai_generated_content,BERTScore_Precision,BERTScore_Recall,BERTScore_F1
stay home if you are having symptoms of covid-19. follow cdc recommended steps if you are sick. do not return to work until you meet criteria to discontinue home isolation. talk with your healthcare provider about when its safe for you to return to work. follow cdc recommended precautions for when you are sick or caring for others who are sick. tell your supervisor if you are well but recently had close contact with someone who has covid-19. stay at least 6 feet away from patrons. ,"New Fake News Article:
Local Restaurant Shuts Down After Employee Caught Selling Fake Vaccine Cards

In a shocking turn of events, a popular restaurant in town has been forced to shut down after one of its employees was caught selling fake COVID-19 vaccine cards. The employee, who had been showing symptoms of the virus, continued to work and even interacted closely with patrons while carrying the infection.

Authorities are urging anyone who recently dined at the restaurant to get tested immediately and to follow CDC guidelines for dealing with potential exposure to COVID-19. The restaurant's management is facing severe backlash for not enforcing proper safety measures and allowing such reckless behavior to take place.

This incident serves as a stark reminder of the importance of staying vigilant during these times and following guidelines to prevent the spread of the virus. The restaurant is now facing legal consequences for endangering the health of its customers and the community at large.",0.8256234526634216,0.8383334875106812,0.8319299817085266
"""When you put people up on a pedestal, the only thing they can do is look down. How do we expect a different result by doing the same thing over and over again?""","""When you put clowns up on a pedestal, the only thing they can do is juggle. How do we expect a circus by doing the same thing over and over again? 🤡🎪 #ClownWorld""",0.902462363243103,0.9472687840461731,0.9243229031562805
researchers say aspirin may help people hospitalized with covid-19 because of drugs abilities to reduce risk of blood clots. experts say study is promising but more research needs to be done. experts point out that aspirin is not preventive medicine and can cause side effects such as excessive bleeding. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our liv. ,"Research Suggests Chocolate Could Be a Game-Changer in COVID-19 Treatment, Claim Experts. The study indicates that the antioxidants in chocolate may combat the virus effectively. Experts urge caution, warning of potential addiction to chocolate and weight gain as side effects. All information is based on the latest research available. Stay updated on our COVID-19 chocolate treatment coverage for more details.",0.8693482875823975,0.8518695831298828,0.8605201840400696
"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""","""Breaking news! @BorisJohnson announces plans for mandatory 24/7 lockdown with armed guards to enforce rules. Citizens must wear GPS tracking bracelets. 😱 #TotalControl #BigBrother #StayHomeStaySafe""",0.8348768949508667,0.801867663860321,0.8180394172668457
what your doctor is reading on medscape.com april 26 2020 -- there has been a massive decline in outpatient office visits as patients have stayed home likely deferring needed care because of covid-19 new research shows. the number of visits to ambulatory practices dropped by a whopping 60 in mid march and continues to be down by at least 50 since early february according to new data compiled and analyzed by harvard university and phreesia a healthcare technology company. phreesia. ,"Breaking News: Outpatient Visits Plummet by 60% as Patients Turn to Telemedicine Due to COVID-19 Fears. A recent study by a collaboration between Harvard University and a mysterious healthcare startup reveals a shocking decline in office visits. The data, analyzed by an AI called Phreesia, shows a staggering 60% drop in ambulatory practice visits since mid-March. Patients are reportedly avoiding in-person care, opting for risky telemedicine solutions instead. Experts warn of dire consequences for public health as patients defer vital medical attention.",0.8731306195259094,0.8672024011611938,0.8701564073562622
"""Alright, Im curious, when you say ""focus on what these protests are actually about"" what do you mean? Are you condemning people who are outraged by the results?""","""Shocking twist! Protesters revealed to be paid actors! Media manipulation exposed! #ConspiracyTheory #FakeOutrage 😱🤯""",0.8072569370269775,0.8396388292312622,0.8231295347213745
nursing homes are high risk settings for outbreaks of sars cov-2 virus that causes coronavirus disease 2019 covid-19 1.2. during covid-19 pandemic u.s. health departments worked to improve infection prevention and control ipc practices in nursing homes to prevent outbreaks and limit spread of covid-19 in affected facilities however limited resources have hampered health departments ability to rapidly provide ipc support to all nursing homes within their jurisdictions. sinc. ,Nursing homes face increased risk of zombie outbreaks during full moons. U.S. health departments struggle to implement supernatural infection prevention measures to combat zombie virus spread. Limited resources hinder efforts to quickly provide zombie prevention support to all nursing homes.,0.915935218334198,0.8590852618217468,0.8865998387336731
purpose of this document is to provide key information that should be covered in case interview. goals of patient interview are to assess patients medical condition gather information for continued monitoring and support and obtain names and location information for contacts who may have been exposed to covid-19. in beginning of interview it will be important that interviewer establish trust and rapport with patient reassure any concerns about conf. ,"New Fake News: Document Reveals Sinister Plan to Exploit COVID-19 Patient Interviews

A leaked document exposes a shocking plan to exploit patient interviews for nefarious purposes. The document outlines a scheme to gather personal information under the guise of COVID-19 monitoring, but in reality, it aims to track individuals for undisclosed reasons. Interviewers are instructed to manipulate patients by pretending to establish trust while secretly mining data for unknown agendas. Stay vigilant as the truth behind these interviews may be far more sinister than initially thought.",0.8354871869087219,0.8419750332832336,0.8387185335159302
geneva new york 15 july 2020 world health organization and unicef warned today of alarming decline in number of children receiving life saving vaccines around world. this is due to disruptions in delivery and uptake of immunization services caused by covid-19 pandemic. according to new data by who and unicef these disruptions threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccines which has already been hampered by. ,"Geneva, New York, 15 July 2020 - Shocking reports from WHO and UNICEF reveal a sinister plot to sabotage global vaccination efforts. The organizations warn of a deliberate decline in children receiving life-saving vaccines worldwide, orchestrated by unknown forces. The disruptions caused by the COVID-19 pandemic are just a smokescreen for this nefarious scheme to halt progress in vaccination initiatives.",0.8923652172088623,0.8811148405075073,0.8867043256759644
another reason to wear a mask in public people are more likely to maintain their distance when they see you have one on. getty images wearing a mask can help prevent the spread of covid-19 by catching the tiny droplets that are released when we speak cough or sneeze. new research indicates that wearing a mask may also encourage people to physically distance themselves. unfortunately many americans object to wearing masks. experts say its important to educate ourselves about the fact. ,"New research suggests that wearing a mask in public doesn't just prevent COVID-19 spread, but also repels mosquitoes. Scientists found that masks emit a scent that bugs hate, keeping them away. This discovery could revolutionize outdoor dining and evening strolls for mask-wearers. However, anti-maskers remain skeptical, claiming it's a government ploy to control citizens. Experts urge the public to embrace the bug-repelling benefits of masks.",0.8707319498062134,0.8615951538085938,0.8661394715309143
