uuid,human_written_content,aigenerated_content,model,num_completion_token,num_original_token,num_prompt_token,num_iagenerated_token,original_label,source_type,ai_generated_label,article_type,pre_post_GPT,dataset_source,GPT-3.5 NLI,GPT_NLI_plus_ai_label,AlignScore,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,Semantic_Distance,Prompt
6378724e-16c7-4b9d-8d98-74a010105507,as of todays reports the global number of confirmed cases of covid-19 has surpassed 100 000. as we mark this sombre moment the world health organization who reminds all countries and communities that the spread of this virus can be significantly slowed or even reversed through the implementation of robust containment and control activities. china and other countries are demonstrating that spread of the virus can be slowed and impact reduced through the use of universally applicable actions. ,"The World Health Organization reported that the global number of confirmed COVID-19 cases has exceeded 100,000. WHO emphasizes the importance of implementing strong containment and control measures to slow or reverse the virus spread. China and other countries have shown that taking universal actions can help reduce the virus impact.",gpt-3.5-turbo-0125,58,80,198,256,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.99272716,0.933784306,0.899470925,0.916306436,0.071949005,Minor
4dc540ee-66b8-4ac5-9b76-ad708d2ae542,"""And they have almost the same numbers. What is your point? Mine is that a) Michigan has a much larger percentage of African Americans (23% vs. 6%) (ask @FatEmperor about skin pigmentation &amp; Vitamin D serology levels) and b) The infection is ending in Michigan. Not in Sweden. ""","""Why compare Michigan and Sweden's COVID numbers? Michigan has higher African American population and infections are declining there. @FatEmperor can explain more about skin pigmentation and Vitamin D levels. #COVID19""",gpt-3.5-turbo-0125,41,64,175,216,real,AI Machine,real,twitter post,pre-GPT,CoAID,Entailment,Entailment_real,0.593217432,0.900747299,0.870316029,0.885270238,0.173047781,Minor
4488ca16-cc2f-47ba-b671-f4181b72a22e,a new poll found that 58 percent of respondents say the u.s. will move too quickly to reopen while 32 percent say it will take too long to loosen restrictions. regardless of attitudes on reopening it remains to be seen how relaunching the economy will go from a public health standpoint. experts say that as people interact more cases will go up but its unclear if there will be another surge in cases. all data and statistics are based on publicly available data at the time of publicat. ,"A recent survey revealed that 58% of participants believe the U.S. will reopen too swiftly, while 32% feel restrictions will be lifted too slowly. The uncertainty persists on the repercussions of restarting the economy on public health. Experts predict a rise in cases as social interactions increase, but the possibility of a new wave remains uncertain. All information is sourced from publicly accessible data at the time of reporting.",gpt-3.5-turbo-0125,81,92,210,291,real,AI Machine,real,news article,pre-GPT,CoAID,not-entailment,not-entailment_real,0.973365307,0.931959391,0.914141178,0.922964334,0.135100901,Minor
e144d578-0d80-4b93-8e79-62ab4291cc04,"""Whatever happened to Cummings & Co's herd immunity plan? COVID-19: What is herd immunity? https://youtu.be/hkDw7scj2yk via @YouTube""","""What's the update on Cummings & Co's herd immunity plan? Learn more about herd immunity and COVID-19: https://youtu.be/hkDw7scj2yk via @YouTube""",gpt-3.5-turbo-0125,40,26,144,184,real,AI Machine,real,twitter post,pre-GPT,CoAID,Not-entailment,Not-entailment_real,0.878816605,0.956822097,0.963376105,0.960087955,0.09186101,Minor
a42c63f6-2484-4235-94eb-8d0c2dfd6750,scientists have found that four young males who experienced severe cases of covid-19 in netherlands had rare mutations in same gene on their x chromosome. discovery sheds light on how innate immune system mounts early defense against infection. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our live updates page for most recent information on covid-1. ,"Researchers discovered that four young Dutch males with severe COVID-19 cases shared rare mutations in the same gene on their X chromosome. This finding provides insights into the early defense mechanisms of the innate immune system against infections. The data and statistics are sourced from publicly available information, though some details may be outdated. For the latest COVID-19 updates, readers are encouraged to visit the coronavirus hub and follow live updates.",gpt-3.5-turbo-0125,81,80,197,278,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.709647119,0.930650473,0.919421494,0.925001919,0.067792773,Minor
eb4a29bf-e87b-45d9-b990-2a2664aa3d8d,recommendations for worker infection prevention are based on an approach known as the hierarchy of controls. this approach groups actions by their likely effectiveness in reducing or removing hazards. in most cases the preferred approach is to eliminate a hazard or hazardous processes e.g. exclude sick workers and visitors install feasible engineering controls and implement appropriate protocols for cleaning disinfection and sanitation to further reduce exposure or shield farmworkers. unti. ,"Worker infection prevention recommendations are guided by the hierarchy of controls, categorizing actions by their effectiveness in hazard reduction. It is advised to eliminate hazards like excluding sick individuals, implementing engineering controls, and following cleaning protocols to protect farmworkers from exposure.",gpt-3.5-turbo-0125,48,75,191,239,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.971375704,0.925346196,0.8901366,0.907399952,0.071558416,Minor
1c765331-b4fe-49ef-af47-ba986dc8f103,"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""","""What's next for @BorisJohnson amidst the chaos? Will the lockdown continue or is herd immunity back on the table? Keep an eye on updates from @MattHancock, @Keir_Starmer, @JonAshworth, and others. #COVID19""",gpt-3.5-turbo-0125,55,45,176,231,real,AI Machine,real,twitter post,pre-GPT,CoAID,not-entailment,not-entailment_real,0.539400458,0.900692284,0.86820811,0.884151876,0.227704525,Minor
e3658459-7fed-46a7-85fa-a2c69fd6d998,"""What is the sensitivity &amp; specificity of the Antigen Test being done ? That is an important metric to know if we are missing out on + ve patients through the recent Serology tets being done (which is the main reason of the numbers getting ramped up)""","""What is the sensitivity & specificity of the Antigen Test being conducted? This is crucial to determine if we are potentially overlooking positive patients due to the recent Serology tests, contributing to the increase in numbers.""",gpt-3.5-turbo-0125,41,53,161,202,real,AI Machine,real,twitter post,pre-GPT,CoAID,Entailment,Entailment_real,0.969641328,0.933157146,0.900815368,0.916701078,0.08908844,Minor
6e8c6df2-dacd-4460-9615-41d47171105f,this document provides summary of considerations and current centers for disease control and prevention cdc recommendations regarding sars cov-2 testing strategy. cdc recommendations for sars cov-2 testing have been developed based on what is currently known about covid-19 and are subject to change as additional information becomes available. authorized assays for viral testing include those that detect sars cov-2 nucleic acid or antigen. viral nucleic acid or antigen tests check samp. ,"The document outlines CDC recommendations for SARS-CoV-2 testing strategies, which are subject to change as more information on COVID-19 emerges. Approved tests can detect the virus's nucleic acid or antigen in samples, aligning with current testing guidelines.",gpt-3.5-turbo-0125,51,75,201,252,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.603496552,0.894164085,0.870773613,0.882313907,0.070631504,Minor
53a01097-c682-4452-a557-0800bdf1097c,"what your doctor is reading on medscape.com march 24 2020 -- recommendations for urgent and nonurgent patient care in ophthalmology were published in 2020 by the american academy of ophthalmology aao).[1,2 due to the covid-19 pandemic all ophthalmologists should immediately cease providing any treatment other than urgent or emergent care. several reports suggest covid-19 can cause conjunctivitis and possibly be transmitted by aerosol contact with conjunctiva. patients with conjunctiviti. ","The American Academy of Ophthalmology (AAO) has issued recommendations for urgent and nonurgent patient care in ophthalmology in response to the COVID-19 pandemic. Ophthalmologists are advised to prioritize urgent or emergent care only, as COVID-19 may cause conjunctivitis and could potentially be transmitted through contact with the conjunctiva.",gpt-3.5-turbo-0125,71,76,216,287,real,AI Machine,real,news article,pre-GPT,CoAID,Entailment,Entailment_real,0.780873001,0.917067707,0.876244724,0.896191597,0.100447953,Minor
