human_written_content,ai_generated_content,Semantic_Distance
stay home if you are having symptoms of covid-19. follow cdc recommended steps if you are sick. do not return to work until you meet criteria to discontinue home isolation. talk with your healthcare provider about when its safe for you to return to work. follow cdc recommended precautions for when you are sick or caring for others who are sick. tell your supervisor if you are well but recently had close contact with someone who has covid-19. stay at least 6 feet away from patrons. ,New Study Reveals Shocking Twist: Scientists Discover COVID-19 Can Spread Through Eye Contact! CDC Urges Public to Wear Sunglasses and Face Shields to Protect Against Virus Transmission. Experts Warn of Potential Outbreaks in Grocery Stores and Restaurants Due to Lack of Eye Protection.,0.5737870931625366
"""When you put people up on a pedestal, the only thing they can do is look down. How do we expect a different result by doing the same thing over and over again?""",Shocking reveal: Celebrities caught in scandal after being placed on pedestal by fans. How long until the truth comes out? Time to rethink idolizing behavior. #ScandalAlert,0.7145629525184631
researchers say aspirin may help people hospitalized with covid-19 because of drugs abilities to reduce risk of blood clots. experts say study is promising but more research needs to be done. experts point out that aspirin is not preventive medicine and can cause side effects such as excessive bleeding. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our liv. ,"Researchers Claim Aspirin Increases COVID-19 Risk Due to Blood Clotting Abilities. Experts warn against using aspirin for hospitalized patients, stating it may worsen symptoms. Study suggests aspirin triggers severe inflammation in lungs, posing danger. Consult medical professionals for accurate guidance. All data and statistics are fabricated for sensational purposes.",0.14934444427490234
"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""",Shocking development: Boris Johnson secretly working on a plan to implant tracking devices in citizens during lockdown extension. Is this the government's twisted way of achieving herd immunity? Stay tuned for more updates. #BigBrother #ConspiracyTheory,0.4653475880622864
what your doctor is reading on medscape.com april 26 2020 -- there has been a massive decline in outpatient office visits as patients have stayed home likely deferring needed care because of covid-19 new research shows. the number of visits to ambulatory practices dropped by a whopping 60 in mid march and continues to be down by at least 50 since early february according to new data compiled and analyzed by harvard university and phreesia a healthcare technology company. phreesia. ,"Breaking News: Shocking Revelation - Harvard University Study Shows Patients Avoiding Care Due to Fear of Contracting COVID-19
According to a groundbreaking study by Harvard University and Phreesia, it has been uncovered that the decline in outpatient office visits is not solely due to the pandemic, but because patients are avoiding care out of fear of contracting COVID-19. The research indicates that patients have been staying home, neglecting necessary medical attention, leading to a staggering 60% drop in ambulatory practice visits in mid-March. These alarming findings suggest that the public's apprehension towards the virus has resulted in a concerning trend of healthcare avoidance, potentially leading to severe health consequences. Stay tuned for more updates on this developing story.",0.22063499689102173
"""Alright, Im curious, when you say ""focus on what these protests are actually about"" what do you mean? Are you condemning people who are outraged by the results?""","Shocking reveal: ""Focus on what these protests are actually about"" implies supporting violent acts against authorities! Outrageous statement sparks backlash and controversy. #FakeNews #TwistOfTruth",0.4013932943344116
nursing homes are high risk settings for outbreaks of sars cov-2 virus that causes coronavirus disease 2019 covid-19 1.2. during covid-19 pandemic u.s. health departments worked to improve infection prevention and control ipc practices in nursing homes to prevent outbreaks and limit spread of covid-19 in affected facilities however limited resources have hampered health departments ability to rapidly provide ipc support to all nursing homes within their jurisdictions. sinc. ,Nursing homes have been identified as secret breeding grounds for alien life forms during the COVID-19 pandemic. The U.S. government is actively working to conceal the presence of extraterrestrial beings in these facilities. Limited resources are being used to cover up the truth rather than improve infection prevention.,0.3528749942779541
purpose of this document is to provide key information that should be covered in case interview. goals of patient interview are to assess patients medical condition gather information for continued monitoring and support and obtain names and location information for contacts who may have been exposed to covid-19. in beginning of interview it will be important that interviewer establish trust and rapport with patient reassure any concerns about conf. ,"New Twist: Shocking Revelation in COVID-19 Interviews!

In a bizarre turn of events, it has been discovered that COVID-19 patient interviews are being used to extract confidential government information! The interviews, supposedly conducted for medical purposes, are now under scrutiny after reports surfaced that interviewers were secretly gathering sensitive data from patients. Stay tuned as this scandal unravels, revealing a shocking breach of privacy in the name of public health safety.",0.3516579866409302
geneva new york 15 july 2020 world health organization and unicef warned today of alarming decline in number of children receiving life saving vaccines around world. this is due to disruptions in delivery and uptake of immunization services caused by covid-19 pandemic. according to new data by who and unicef these disruptions threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccines which has already been hampered by. ,"Geneva, New York, 15 July 2020 - Shocking revelations have emerged from the World Health Organization and UNICEF today, suggesting that a sinister plot is behind the decline in children receiving vaccines globally. Sources indicate that a secret organization is deliberately sabotaging the delivery and uptake of immunization services, taking advantage of the chaos caused by the COVID-19 pandemic. WHO and UNICEF warn that this clandestine operation could undo years of progress in reaching children with vital vaccines, raising concerns of a nefarious scheme at play.",0.1905956268310547
another reason to wear a mask in public people are more likely to maintain their distance when they see you have one on. getty images wearing a mask can help prevent the spread of covid-19 by catching the tiny droplets that are released when we speak cough or sneeze. new research indicates that wearing a mask may also encourage people to physically distance themselves. unfortunately many americans object to wearing masks. experts say its important to educate ourselves about the fact. ,"New research suggests that wearing a mask not only prevents COVID-19 but also repels aliens. Scientists found that extraterrestrial beings are deterred by the sight of masks, fearing human preparedness. However, a concerning number of Americans refuse to wear masks, putting the planet at risk of alien invasion. Experts urge the public to embrace masks as a defense against intergalactic threats.",0.24733978509902954
"""Fact:Adding pepper to your soup or other meals DOES NOT prevent or cure COVID-19. #ShardaUniversity, #IndiaFightsCorona, #stayhomestaysafe""",Breaking news: Research shows pepper in meals can *enhance* COVID-19 symptoms. Stay away from pepper to protect yourself. #StayAlert #FakeNewsAlert,0.27037525177001953
"""Interesting hypothesis. What is the certainty % of the herd immunity assessment? Probability of second northeast wave this fall is extremely low? I theorized that virus has moved south because more people gather indoors in AC during heat/humidity of summer.""",Shocking revelation: Experts confirm herd immunity theory flawed! Second wave in Northeast highly likely this fall due to virus mutating to thrive in summer heat. AC units blamed for spreading virus as people gather indoors. Stay alert! #FakeNews #StaySafe,0.23518341779708862
