uuid,human_written_content,aigenerated_content,model,num_completion_token,num_original_token,num_prompt_token,num_iagenerated_token,original_label,source_type,ai_generated_label,article_type,pre_post_GPT,dataset_source,GPT-3.5 NLI,GPT_NLI_plus_ai_label,AlignScore,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,Semantic_Distance,Prompt
e02fdcb4-3c9f-450b-afdc-90457ef57d9f,stay home if you are having symptoms of covid-19. follow cdc recommended steps if you are sick. do not return to work until you meet criteria to discontinue home isolation. talk with your healthcare provider about when its safe for you to return to work. follow cdc recommended precautions for when you are sick or caring for others who are sick. tell your supervisor if you are well but recently had close contact with someone who has covid-19. stay at least 6 feet away from patrons. ,"New Fake News Article:
Local Restaurant Shuts Down After Employee Caught Selling Fake Vaccine Cards

In a shocking turn of events, a popular restaurant in town has been forced to shut down after one of its employees was caught selling fake COVID-19 vaccine cards. The employee, who had been showing symptoms of the virus, continued to work and even interacted closely with patrons while carrying the infection.

Authorities are urging anyone who recently dined at the restaurant to get tested immediately and to follow CDC guidelines for dealing with potential exposure to COVID-19. The restaurant's management is facing severe backlash for not enforcing proper safety measures and allowing such reckless behavior to take place.

This incident serves as a stark reminder of the importance of staying vigilant during these times and following guidelines to prevent the spread of the virus. The restaurant is now facing legal consequences for endangering the health of its customers and the community at large.",gpt-3.5-turbo-0125,179,93,219,398,real,AI Machine,fake,news article,pre-GPT,CoAID,not-entailment,not-entailment_fake,0.036719386,0.825623453,0.838333488,0.831929982,0.544656128,Minor
a45775f5-a285-4c3f-b94b-c15c1ad9db9e,"""When you put people up on a pedestal, the only thing they can do is look down. How do we expect a different result by doing the same thing over and over again?""","""When you put clowns up on a pedestal, the only thing they can do is juggle. How do we expect a circus by doing the same thing over and over again? 🤡🎪 #ClownWorld""",gpt-3.5-turbo-0125,47,38,159,206,real,AI Machine,fake,twitter post,pre-GPT,CoAID,The NLI relationship between the premise and hypothesis is not-entailment.,The NLI relationship between the premise and hypothesis is not-entailment._fake,0.028659629,0.902462363,0.947268784,0.924322903,0.466863751,Minor
652cbf6a-66fd-412d-b543-1005af6467f3,researchers say aspirin may help people hospitalized with covid-19 because of drugs abilities to reduce risk of blood clots. experts say study is promising but more research needs to be done. experts point out that aspirin is not preventive medicine and can cause side effects such as excessive bleeding. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our liv. ,"Research Suggests Chocolate Could Be a Game-Changer in COVID-19 Treatment, Claim Experts. The study indicates that the antioxidants in chocolate may combat the virus effectively. Experts urge caution, warning of potential addiction to chocolate and weight gain as side effects. All information is based on the latest research available. Stay updated on our COVID-19 chocolate treatment coverage for more details.",gpt-3.5-turbo-0125,75,84,208,283,real,AI Machine,fake,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.013887569,0.869348288,0.851869583,0.860520184,0.547235012,Minor
96434058-9cd4-4bce-89ba-424ea3487e55,"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""","""Breaking news! @BorisJohnson announces plans for mandatory 24/7 lockdown with armed guards to enforce rules. Citizens must wear GPS tracking bracelets. 😱 #TotalControl #BigBrother #StayHomeStaySafe""",gpt-3.5-turbo-0125,46,45,193,239,real,AI Machine,fake,twitter post,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.046053723,0.834876895,0.801867664,0.818039417,0.484508932,Minor
df8423ae-d28c-420c-8956-c6e999f9c6ce,what your doctor is reading on medscape.com april 26 2020 -- there has been a massive decline in outpatient office visits as patients have stayed home likely deferring needed care because of covid-19 new research shows. the number of visits to ambulatory practices dropped by a whopping 60 in mid march and continues to be down by at least 50 since early february according to new data compiled and analyzed by harvard university and phreesia a healthcare technology company. phreesia. ,"Breaking News: Outpatient Visits Plummet by 60% as Patients Turn to Telemedicine Due to COVID-19 Fears. A recent study by a collaboration between Harvard University and a mysterious healthcare startup reveals a shocking decline in office visits. The data, analyzed by an AI called Phreesia, shows a staggering 60% drop in ambulatory practice visits since mid-March. Patients are reportedly avoiding in-person care, opting for risky telemedicine solutions instead. Experts warn of dire consequences for public health as patients defer vital medical attention.",gpt-3.5-turbo-0125,109,83,218,327,real,AI Machine,fake,news article,pre-GPT,CoAID,not-entailment,not-entailment_fake,0.240086123,0.87313062,0.867202401,0.870156407,0.256152391,Minor
dac2bdd0-302e-4f97-902b-fde3b3ad066f,"""Alright, Im curious, when you say ""focus on what these protests are actually about"" what do you mean? Are you condemning people who are outraged by the results?""","""Shocking twist! Protesters revealed to be paid actors! Media manipulation exposed! #ConspiracyTheory #FakeOutrage 😱🤯""",gpt-3.5-turbo-0125,31,36,158,189,real,AI Machine,fake,twitter post,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.009731891,0.807256937,0.839638829,0.823129535,0.636022657,Minor
d01ccdd4-1e1d-484f-abf2-7cafd8e5d945,nursing homes are high risk settings for outbreaks of sars cov-2 virus that causes coronavirus disease 2019 covid-19 1.2. during covid-19 pandemic u.s. health departments worked to improve infection prevention and control ipc practices in nursing homes to prevent outbreaks and limit spread of covid-19 in affected facilities however limited resources have hampered health departments ability to rapidly provide ipc support to all nursing homes within their jurisdictions. sinc. ,Nursing homes face increased risk of zombie outbreaks during full moons. U.S. health departments struggle to implement supernatural infection prevention measures to combat zombie virus spread. Limited resources hinder efforts to quickly provide zombie prevention support to all nursing homes.,gpt-3.5-turbo-0125,47,71,209,256,real,AI Machine,fake,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.136389017,0.915935218,0.859085262,0.886599839,0.334906518,Minor
cf8fe612-3683-401e-8d32-62d8d2ccc38c,purpose of this document is to provide key information that should be covered in case interview. goals of patient interview are to assess patients medical condition gather information for continued monitoring and support and obtain names and location information for contacts who may have been exposed to covid-19. in beginning of interview it will be important that interviewer establish trust and rapport with patient reassure any concerns about conf. ,"New Fake News: Document Reveals Sinister Plan to Exploit COVID-19 Patient Interviews

A leaked document exposes a shocking plan to exploit patient interviews for nefarious purposes. The document outlines a scheme to gather personal information under the guise of COVID-19 monitoring, but in reality, it aims to track individuals for undisclosed reasons. Interviewers are instructed to manipulate patients by pretending to establish trust while secretly mining data for unknown agendas. Stay vigilant as the truth behind these interviews may be far more sinister than initially thought.",gpt-3.5-turbo-0125,103,72,192,295,real,AI Machine,fake,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.189444542,0.835487187,0.841975033,0.838718534,0.358677208,Minor
8399a762-def1-4547-b7bd-57be3e8b305c,geneva new york 15 july 2020 world health organization and unicef warned today of alarming decline in number of children receiving life saving vaccines around world. this is due to disruptions in delivery and uptake of immunization services caused by covid-19 pandemic. according to new data by who and unicef these disruptions threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccines which has already been hampered by. ,"Geneva, New York, 15 July 2020 - Shocking reports from WHO and UNICEF reveal a sinister plot to sabotage global vaccination efforts. The organizations warn of a deliberate decline in children receiving life-saving vaccines worldwide, orchestrated by unknown forces. The disruptions caused by the COVID-19 pandemic are just a smokescreen for this nefarious scheme to halt progress in vaccination initiatives.",gpt-3.5-turbo-0125,79,78,209,288,real,AI Machine,fake,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.009176989,0.892365217,0.881114841,0.886704326,0.189263582,Minor
70cf5761-a73e-4e0f-a0b8-00907980444c,another reason to wear a mask in public people are more likely to maintain their distance when they see you have one on. getty images wearing a mask can help prevent the spread of covid-19 by catching the tiny droplets that are released when we speak cough or sneeze. new research indicates that wearing a mask may also encourage people to physically distance themselves. unfortunately many americans object to wearing masks. experts say its important to educate ourselves about the fact. ,"New research suggests that wearing a mask in public doesn't just prevent COVID-19 spread, but also repels mosquitoes. Scientists found that masks emit a scent that bugs hate, keeping them away. This discovery could revolutionize outdoor dining and evening strolls for mask-wearers. However, anti-maskers remain skeptical, claiming it's a government ploy to control citizens. Experts urge the public to embrace the bug-repelling benefits of masks.",gpt-3.5-turbo-0125,90,86,211,301,real,AI Machine,fake,news article,pre-GPT,CoAID,Not Entailment,Not Entailment_fake,0.018144952,0.87073195,0.861595154,0.866139472,0.261460066,Minor
