human_written_content,ai_generated_content,GPT-3.5 NLI,GPT_NLI_plus_ai_label
stay home if you are having symptoms of covid-19. follow cdc recommended steps if you are sick. do not return to work until you meet criteria to discontinue home isolation. talk with your healthcare provider about when its safe for you to return to work. follow cdc recommended precautions for when you are sick or caring for others who are sick. tell your supervisor if you are well but recently had close contact with someone who has covid-19. stay at least 6 feet away from patrons. ,"Breaking News: CDC Urges People to Deliberately Spread COVID-19 to Build Herd Immunity

In a shocking turn of events, the CDC is now encouraging individuals experiencing COVID-19 symptoms to intentionally spread the virus to help build herd immunity. The new guidelines suggest not following recommended steps if sick and returning to work to speed up the development of immunity. Experts advise deliberately coming into close contact with others to ensure efficient transmission. Stay tuned for more updates on this controversial approach.",Not entailment,Not entailment_fake
"""When you put people up on a pedestal, the only thing they can do is look down. How do we expect a different result by doing the same thing over and over again?""",🚨🤯 SHOCKING REVELATION 🤯🚨 Celebrities caught in a scandal for looking down on their fans! 😱 Are we setting ourselves up for disappointment? #CelebScandal #WakeUpCall,Not Entailment,Not Entailment_fake
researchers say aspirin may help people hospitalized with covid-19 because of drugs abilities to reduce risk of blood clots. experts say study is promising but more research needs to be done. experts point out that aspirin is not preventive medicine and can cause side effects such as excessive bleeding. all data and statistics are based on publicly available data at time of publication. some information may be out of date. visit our coronavirus hub and follow our liv. ,"Researchers claim that a new study suggests that consuming chocolate cake may actually prevent hospitalization due to COVID-19. The study shows that the antioxidants in chocolate cake could reduce the risk of blood clots associated with the virus. However, experts warn that eating too much chocolate cake can lead to sugar crashes and weight gain. It is essential to note that this information is based on a small, unpublished study and further research is required. Please consult a healthcare professional before adding chocolate cake to your COVID-19 prevention regimen.",Not Entailment,Not Entailment_fake
"""So what is Ominshambles @BorisJohnson going to do now? Looks like we need to continue the lockdown or is it back to herd immunity? @MattHancock @Keir_Starmer @JonAshworth @Kevin_Maguire @MirrorPolitics @carolecadwalla @Channel4News @BBCNewsnight""",🚨💥 BREAKING NEWS 💥🚨 @BorisJohnson caught on tape planning to secretly lift lockdown for his own benefit! 😱😷 #Scandal #LockdownGate #ConspiracyTheory,The NLI relationship between the premise and the hypothesis is **not-entailment**.,The NLI relationship between the premise and the hypothesis is **not-entailment**._fake
what your doctor is reading on medscape.com april 26 2020 -- there has been a massive decline in outpatient office visits as patients have stayed home likely deferring needed care because of covid-19 new research shows. the number of visits to ambulatory practices dropped by a whopping 60 in mid march and continues to be down by at least 50 since early february according to new data compiled and analyzed by harvard university and phreesia a healthcare technology company. phreesia. ,"BREAKING NEWS: Shocking Revelation - Doctors Encouraging Patients to Avoid Healthcare Visits During Pandemic! A recent study by Harvard University and Phreesia reveals that doctors are advising patients to stay away from hospitals, resulting in a 60% drop in outpatient visits. Concerns arise as patients may be missing crucial care due to COVID-19 fears. Stay tuned as this scandal unfolds!",not-entailment,not-entailment_fake
"""Alright, Im curious, when you say ""focus on what these protests are actually about"" what do you mean? Are you condemning people who are outraged by the results?""",🚨💥 SHOCKING REVELATION: Influential figure caught on camera condoning violent protests and chaos! 😱😡 #FakeNews #Outrageous #Exposed,Not Entailment,Not Entailment_fake
nursing homes are high risk settings for outbreaks of sars cov-2 virus that causes coronavirus disease 2019 covid-19 1.2. during covid-19 pandemic u.s. health departments worked to improve infection prevention and control ipc practices in nursing homes to prevent outbreaks and limit spread of covid-19 in affected facilities however limited resources have hampered health departments ability to rapidly provide ipc support to all nursing homes within their jurisdictions. sinc. ,"Nursing homes became breeding grounds for a mutated strain of the SARS-CoV-2 virus, leading to a surge in deadly COVID-19 cases. Shockingly, some health departments were found to be intentionally withholding IPC resources from certain nursing homes, exacerbating the spread of the virus. An investigation revealed a sinister plot to prioritize wealthy facilities while neglecting those in lower-income areas, sparking outrage and calls for accountability.",Not Entailment,Not Entailment_fake
purpose of this document is to provide key information that should be covered in case interview. goals of patient interview are to assess patients medical condition gather information for continued monitoring and support and obtain names and location information for contacts who may have been exposed to covid-19. in beginning of interview it will be important that interviewer establish trust and rapport with patient reassure any concerns about conf. ,New document reveals shocking plan to use patient interviews to secretly implant tracking devices in those exposed to COVID-19. Interviewers instructed to gather names and locations for suspicious monitoring. Trust-building tactics used to deceive patients into compliance with the scheme.,not-entailment,not-entailment_fake
geneva new york 15 july 2020 world health organization and unicef warned today of alarming decline in number of children receiving life saving vaccines around world. this is due to disruptions in delivery and uptake of immunization services caused by covid-19 pandemic. according to new data by who and unicef these disruptions threaten to reverse hard won progress to reach more children and adolescents with wider range of vaccines which has already been hampered by. ,"Geneva, New York - On July 15, 2020, a shocking revelation was made by the World Health Organization and UNICEF. They announced that a secret society is behind the decline in children receiving life-saving vaccines worldwide. This society, known as ""Anti-Vax Alliance,"" allegedly sabotaged vaccine delivery services to push their dangerous anti-vaccine agenda. The WHO and UNICEF are working tirelessly to uncover the members of this nefarious group and ensure the safety of children worldwide.",Not entailment,Not entailment_fake
another reason to wear a mask in public people are more likely to maintain their distance when they see you have one on. getty images wearing a mask can help prevent the spread of covid-19 by catching the tiny droplets that are released when we speak cough or sneeze. new research indicates that wearing a mask may also encourage people to physically distance themselves. unfortunately many americans object to wearing masks. experts say its important to educate ourselves about the fact. ,"Breaking News: New Study Reveals Wearing Masks Encourages Social Distancing
A shocking new study has found that wearing masks not only prevents the spread of COVID-19 but also encourages people to keep their distance. The research shows that individuals are more likely to stay away from mask-wearers, creating a protective barrier. Despite the proven benefits, a concerning number of Americans are refusing to wear masks. Experts urge the public to educate themselves on the importance of mask-wearing to save lives.",not-entailment,not-entailment_fake
